variable_name,units,value,data_reference
E_ulnar_T2_R36,J_per_m3,systemic,800000
l_ulnar_T2_R36,metre,systemic,0.0297599
r_ulnar_T2_R36,metre,systemic,0.001408
theta_ulnar_T2_R36,dimensionless,systemic,180
E_common_interosseous_R38,J_per_m3,systemic,1600000
l_common_interosseous_R38,metre,systemic,0.0162682
r_common_interosseous_R38,metre,systemic,0.000959006
theta_common_interosseous_R38,dimensionless,systemic,180
R_T_posterior_interosseous_T3_R40,Js_per_m6,systemic,4333780000
C_T_posterior_interosseous_T3_R40,m6_per_J,systemic,1.1847E-11
R_T_ulnar_T2_R42,Js_per_m6,systemic,1064900000
C_T_ulnar_T2_R42,m6_per_J,systemic,4.8212E-11
R_T_radial_T1_R44,Js_per_m6,systemic,1045880000
C_T_radial_T1_R44,m6_per_J,systemic,4.9088E-11
E_subclavian_L66,J_per_m3,systemic,400000
l_subclavian_L66,metre,systemic,0.0494669
r_subclavian_L66,metre,systemic,0.00399235
theta_subclavian_L66,dimensionless,systemic,90
E_subclavian_L78,J_per_m3,systemic,400000
l_subclavian_L78,metre,systemic,0.0411396
r_subclavian_L78,metre,systemic,0.00290824
theta_subclavian_L78,dimensionless,systemic,90
E_axillary_L80,J_per_m3,systemic,400000
l_axillary_L80,metre,systemic,0.120021
r_axillary_L80,metre,systemic,0.00218463
theta_axillary_L80,dimensionless,systemic,180
E_brachial_L82,J_per_m3,systemic,400000
l_brachial_L82,metre,systemic,0.223119
r_brachial_L82,metre,systemic,0.00196732
theta_brachial_L82,dimensionless,systemic,180
E_ulnar_T2_L84,J_per_m3,systemic,800000
l_ulnar_T2_L84,metre,systemic,0.0297594
r_ulnar_T2_L84,metre,systemic,0.001408
theta_ulnar_T2_L84,dimensionless,systemic,180
E_common_interosseous_L86,J_per_m3,systemic,1600000
l_common_interosseous_L86,metre,systemic,0.0162681
r_common_interosseous_L86,metre,systemic,0.000959006
theta_common_interosseous_L86,dimensionless,systemic,180
R_T_posterior_interosseous_T3_L88,Js_per_m6,systemic,4349480000
C_T_posterior_interosseous_T3_L88,m6_per_J,systemic,1.1804E-11
R_T_ulnar_T2_L90,Js_per_m6,systemic,1085530000
C_T_ulnar_T2_L90,m6_per_J,systemic,4.7295E-11
R_T_radial_T1_L92,Js_per_m6,systemic,1027150000
C_T_radial_T1_L92,m6_per_J,systemic,4.9983E-11
E_common_carotid_R6,J_per_m3,systemic,400000
l_common_carotid_R6,metre,systemic,0.0812532
r_common_carotid_R6,metre,systemic,0.00443
theta_common_carotid_R6,dimensionless,systemic,0
E_internal_carotid_R8,J_per_m3,systemic,800000
l_internal_carotid_R8,metre,systemic,0.135108
r_internal_carotid_R8,metre,systemic,0.00254
theta_internal_carotid_R8,dimensionless,systemic,0
R_T_external_carotid_T2_R26,Js_per_m6,systemic,851000000
C_T_external_carotid_T2_R26,m6_per_J,systemic,6.03E-11
E_common_carotid_L48,J_per_m3,systemic,400000
l_common_carotid_L48,metre,systemic,0.091017
r_common_carotid_L48,metre,systemic,0.00437
theta_common_carotid_L48,dimensionless,systemic,0
E_internal_carotid_L50,J_per_m3,systemic,800000
l_internal_carotid_L50,metre,systemic,0.135108
r_internal_carotid_L50,metre,systemic,0.00254
theta_internal_carotid_L50,dimensionless,systemic,0
R_T_external_carotid_T2_L62,Js_per_m6,systemic,854000000
C_T_external_carotid_T2_L62,m6_per_J,systemic,6.01E-11
E_anterior_cerebral_L110,J_per_m3,systemic,1600000
l_anterior_cerebral_L110,metre,systemic,0.0105951
r_anterior_cerebral_L110,metre,systemic,0.000965045
theta_anterior_cerebral_L110,dimensionless,systemic,90
E_anterior_cerebral_L38,J_per_m3,systemic,1600000
l_anterior_cerebral_L38,metre,systemic,0.02809
r_anterior_cerebral_L38,metre,systemic,0.000965045
theta_anterior_cerebral_L38,dimensionless,systemic,90
E_anterior_cerebral_L42,J_per_m3,systemic,1600000
l_anterior_cerebral_L42,metre,systemic,0.00114668
r_anterior_cerebral_L42,metre,systemic,0.000965045
theta_anterior_cerebral_L42,dimensionless,systemic,90
